hgnc_gene	score_wo_prcnt	score_prcnt
A2LD1	0.18939829800000002	66.31870724
AAED1	0.170987912	65.5579146
ABCA4	0.7366628209999999	86.30573248
ABCA5	0.771533118	86.96036801
ABCA6	0.264439529	70.44114178
ABCA8	0.909319045	89.47275301
ABCB7	0.8617121329999999	88.6883699
ABCB8	0.295774947	71.64425572
ABCC2	0.9552526440000001	90.09200283
ABCC3	0.690669139	85.21467327
ABCC4	0.214875663	67.72234017
ABCC6	0.626356326	83.53974994
ABCD4	0.804668134	87.71526303
ABCG8	0.744001103	86.37650389
ABHD10	0.595326758	82.66100495
ABHD14A	0.773521534	87.06062751
ABHD14B	0.215080721	67.91696155
ABI3BP	0.45374373	78.05496579
ACAD11	0.6044243429999999	82.90280727
ACBD3	0.150760231	64.51403633
ACBD4	0.46304610799999996	78.58575136
ACBD7	0.147123112	64.11299835
ACCS	0.290313621	71.56758669
ACE2	0.885576705	89.14248644
ACER2	0.17280645	65.75843359
ACN9	0.3032669	72.009908
ACOT11	0.720128343	85.85751356
ACOT12	0.156217551	64.82071243
ACOT13	0.32531357699999996	73.11276244
ACOT4	0.284856336	71.40835103
ACOT6	0.547599505	81.2160887
ACOT8	0.11030613199999999	62.00165133
ACOT9	0.439181676	77.69521113
ACOX1	0.134171522	63.57041755
ACP1	0.260991686	70.25831564
ACP5	0.35463271399999996	74.58126917
ACP6	0.863528995	88.74144845
ACSL3	0.132352165	63.48785091
ACSL5	0.26826749699999997	70.64166077
ACSM1	0.11576477800000001	62.17268224
ACSM2A	0.407828206	76.50979004
ACSM2B	0.560331224	81.70559094
ACTBL2	0.88921411	89.24274593
ACTL6A	0.283038099	71.26680821
ACTL9	0.330767508	73.53739089
ACTR3	0.12507665199999998	62.738853500000005
ACTR3C	0.479642105	78.95140363
ACTR5	0.266447942	70.5826846
ACTRT1	0.37486018299999996	75.43052607
ACTRT2	0.486911049	79.46449634
ACTRT3	0.949904335	90.00943619
ACY1	0.330767508	73.53739089
ADAD2	0.14145111400000002	63.65298419
ADAL	0.260991686	70.25831564
ADAM17	0.5989630420000001	82.7789573
ADAM18	0.586023223	82.34843123
ADAM19	0.918552705	89.5730125
ADAM2	0.870809653	88.86529842
ADAM28	0.762397607	86.85421090000001
ADAM29	0.113945049	62.14319415
ADAM32	0.38031834299999995	75.63104506
ADAM33	0.802845857	87.69167256
ADAM7	0.11940481900000001	62.20806794
ADAMTS12	0.865222355	88.74734607
ADAMTS13	0.622690987	83.42179759
ADAMTS15	0.6760345440000001	84.75465912
ADAMTS16	0.679686641	84.77235197
ADAMTS5	0.248041348	69.61547535
ADAMTS8	0.6723867029999999	84.73696627
ADAMTSL3	0.334233824	73.62585515
ADAMTSL5	0.442818085	77.8544468
ADAT1	0.8010248170000001	87.65628686
ADAT2	0.19303429600000002	66.82000472
ADCK2	0.692611128	85.26185421
ADCY10	0.639248104	83.78744987
ADCY2	0.11576477800000001	62.17268224
ADD3	0.156217551	64.82071243
ADH1B	0.553050905	81.54635527
ADH4	0.174625237	65.9648502
ADH5	0.19303429600000002	66.82000472
ADH7	0.22053648399999998	68.38287332
ADIPOQ	0.128714042	63.19886766
ADIPOR2	0.281220278	71.07808445
ADM	0.237127192	68.98443029
ADORA2B	0.639420866	83.8995046
ADPGK	0.128714042	63.19886766
ADPRHL1	0.266447942	70.5826846
ADRA1A	0.156217551	64.82071243
ADRB2	0.41895304200000005	77.06416608
ADTRP	0.439181676	77.69521113
AEBP1	0.11940481900000001	62.20806794
AEN	0.777157784	87.17857985
AFAP1L2	0.788095311	87.2965322
AFM	0.486911049	79.46449634
AFMID	0.619191319	83.36282142
AFP	0.290313621	71.56758669
AFTPH	0.18190304699999998	66.2361406
AGA	0.753291803	86.71266808
AGBL2	0.36009265799999995	74.68152866
